

Results from query to  NASA/IPAC Extragalactic Database (NED),
which is funded by the National Aeronautics and Space Administration.
and operated by the California Institute of Technology.


queryDateTime:2025-04-12T14:47:45PDT



Main Information Table for All Sky, chosen by params



Equinox:J2000.0



CoordSystem:Equatorial

No.|Object Name|RA|DEC|Type|Velocity|Redshift|Redshift Flag|Magnitude and Filter|Separation|References|Notes|Photometry Points|Positions|Redshift Points|Diameter Points|Associations
87|WISEA J100036.97+324859.1|150.15420 |  32.81617 |QSO|480349| 1.602270 |SLS |21.2g|  0.000|13|0|17|6|6|4|0
88|WISEA J100037.03+591856.8|150.15432 |  59.31580 |QSO|177895| 0.593395 |SLS |18.4g|  0.000|35|0|54|11|12|8|0
89|SDSS J100037.64+382544.1|150.15684 |  38.42893 |*|237503| 0.792223 |SUN |21.3g|  0.000|9|0|5|3|4|4|0
90|SDSS J100037.77+322813.5|150.15739 |  32.47046 |QSO|925102| 3.085807 |SLS |20.5g|  0.000|15|0|5|5|6|4|0
91|WISEA J100038.39+493301.0|150.15997 |  49.55029 |QSO|368135| 1.227965 |SLS |19.4g|  0.000|28|0|38|8|14|8|0
92|SDSS J100039.39+584159.2|150.16418 |  58.69980 |QSO|478570| 1.596339 |SLS |20.4g|  0.000|23|0|33|6|12|8|0
93|WISEA J100039.46+374033.5|150.16438 |  37.67587 |*|930200| 3.102812 |SLS |20.9g|  0.000|11|0|17|5|4|4|0
94|WISEA J100039.42+400823.9|150.16445 |  40.14006 |*|796759| 2.657700 |SLS |21.0g|  0.000|12|0|17|6|5|4|0
95|WISEA J100039.72+455943.5|150.16554 |  45.99543 |QSO|334329| 1.115201 |SLS |19.9g|  0.000|13|0|23|6|4|4|1
96|WISEA J100040.24+423001.5|150.16768 |  42.50042 |QSO|415832| 1.387067 |SLS |19.3g|  0.000|32|0|50|9|13|8|0
97|WISEA J100040.54+561701.5|150.16895 |  56.28378 |QSO|423380| 1.412245 |SLS |19.9g|  0.000|24|0|45|7|12|8|0
98|WISEA J100040.66+531911.8|150.16943 |  53.31995 |QSO| -1063|-0.003547 |SLS |18.7I|  0.000|12|0|21|8|6|4|0
99|WISEA J100041.10+405939.3|150.17127 |  40.99426 |QSO|1139095| 3.799610 |SLS |19.4g|  0.000|38|0|38|10|18|8|0
100|WISEA J100041.40+405809.7|150.17252 |  40.96937 |QSO|426494| 1.422629 |SLS |19.1g|  0.000|29|0|38|8|15|8|0
101|SDSS J100041.52+353427.8|150.17304 |  35.57441 |*|756001| 2.521746 |SLS |21.2g|  0.000|7|0|5|3|2|4|0
102|WISEA J100041.59+330706.8|150.17331 |  33.11876 |QSO|531365| 1.772444 |SLS |21.2g|  0.000|12|0|17|5|5|4|0
103|WISEA J100042.20+332306.0|150.17589 |  33.38504 |QSO|1828233| 6.098328 |SLS |20.1g|  0.000|22|0|38|7|11|8|0
104|SDSS J100042.40+452822.6|150.17668 |  45.47297 |*|759985| 2.535036 |SLS |20.7g|  0.000|12|0|5|5|6|4|0
105|WISEA J100042.77+494912.4|150.17822 |  49.82012 |QSO|431086| 1.437948 |SLS |18.7g|  0.000|30|0|38|7|13|8|0
106|WISEA J100042.94+305801.7|150.17895 |  30.96714 |QSO|259267| 0.864823 |SLS |21.1g|  0.000|11|0|17|5|5|4|0
107|SDSS J100042.95+311809.8|150.17901 |  31.30274 |QSO|718803| 2.397670 |SLS |21.0g|  0.000|14|0|5|5|6|4|0
108|WISEA J100043.22+455522.5|150.18005 |  45.92286 |*|204801| 0.683143 |SUN |21.6g|  0.000|7|0|19|6|6|4|0
109|WISEA J100044.41+561307.9|150.18506 |  56.21886 |QSO|191453| 0.638618 |SLS |19.2g|  0.000|32|0|53|11|14|8|0
110|WISEA J100044.88+330556.8|150.18691 |  33.09907 |QSO|653758| 2.180701 |SLS |21.4g|  0.000|12|0|17|5|4|4|0
111|WISEA J100045.37+475732.8|150.18904 |  47.95913 |*|199399| 0.665123 |SUN |20.3g|  0.000|8|0|17|5|6|4|1
112|WISEA J100046.26+331617.5|150.19270 |  33.27154 |QSO|662412| 2.209568 |SLS |20.8g|  0.000|16|0|17|6|6|4|0
113|WISEA J100046.33+501633.4|150.19308 |  50.27596 |*|161339| 0.538168 |SUN |20.2g|  0.000|9|0|17|5|6|4|0
114|WISEA J100046.40+400148.6|150.19337 |  40.03033 |QSO|485645| 1.619938 |SLS |20.3g|  0.000|18|0|42|7|10|8|0
115|WISEA J100046.81+385410.5|150.19507 |  38.90292 |*|227503| 0.758868 |SUN |19.7g|  0.000|12|0|24|8|7|4|0
116|SDSS J100048.66+333428.0|150.20279 |  33.57446 |QSO|358245| 1.194977 |SLS |20.5g|  0.000|11|0|5|2|3|4|0
117|WISEA J100048.71+591648.0|150.20297 |  59.28002 |QSO|302615| 1.009416 |SLS |18.9g|  0.000|31|0|50|10|15|8|0
118|SDSS J100048.98+494004.9|150.20412 |  49.66804 |*|503590| 1.679795 |SLS |20.9g|  0.000|4|0|5|3|2|4|0
